Country Name,Year,Agricultural land (% of land area),Forest area (% of land area),Wheat Yield (tonnes/km2),Latitude,Longitude
Afghanistan,1990,58.32,1.85,1.05,33.76800537,66.23851013
Afghanistan,1991,58.31,1.85,1.02,33.76800537,66.23851013
Afghanistan,1992,58.31,1.85,1.03,33.76800537,66.23851013
Afghanistan,1993,58.16,1.85,1.02,33.76800537,66.23851013
Afghanistan,1994,57.97,1.85,1.02,33.76800537,66.23851013
Afghanistan,1995,57.9,1.85,1.09,33.76800537,66.23851013
Afghanistan,1996,57.89,1.85,1.12,33.76800537,66.23851013
Afghanistan,1997,57.95,1.85,1.28,33.76800537,66.23851013
Afghanistan,1998,58.06,1.85,1.3,33.76800537,66.23851013
Afghanistan,1999,57.9,1.85,1.23,33.76800537,66.23851013
Afghanistan,2000,57.95,1.85,0.72,33.76800537,66.23851013
Afghanistan,2001,57.95,1.85,0.9,33.76800537,66.23851013
Afghanistan,2002,57.94,1.85,1.54,33.76800537,66.23851013
Afghanistan,2003,58.08,1.85,1.5,33.76800537,66.23851013
Afghanistan,2004,58.15,1.85,1.27,33.76800537,66.23851013
Afghanistan,2005,58.13,1.85,1.82,33.76800537,66.23851013
Afghanistan,2006,58.12,1.85,1.38,33.76800537,66.23851013
Afghanistan,2007,58.13,1.85,1.82,33.76800537,66.23851013
Afghanistan,2008,58.13,1.85,1.23,33.76800537,66.23851013
Afghanistan,2009,58.13,1.85,1.97,33.76800537,66.23851013
Afghanistan,2010,58.13,1.85,1.93,33.76800537,66.23851013
Afghanistan,2011,58.13,1.85,1.52,33.76800537,66.23851013
Afghanistan,2012,58.13,1.85,2.01,33.76800537,66.23851013
Afghanistan,2013,58.12,1.85,2.02,33.76800537,66.23851013
Afghanistan,2014,58.12,1.85,2.02,33.76800537,66.23851013
Afghanistan,2015,58.12,1.85,2.2,33.76800537,66.23851013
Afghanistan,2016,58.12,1.85,1.98,33.76800537,66.23851013
Afghanistan,2017,58.12,1.85,2.03,33.76800537,66.23851013
Afghanistan,2018,58.28,1.85,2.21,33.76800537,66.23851013
Afghanistan,2019,58.28,1.85,2.1,33.76800537,66.23851013
Afghanistan,2020,58.74,1.85,1.94,33.76800537,66.23851013
Afghanistan,2021,58.74,1.85,2.13,33.76800537,66.23851013
Albania,1990,40.91,28.79,3.02,41.13994598,20.06507683
Albania,1991,41.13,28.72,2.07,41.13994598,20.06507683
Albania,1992,41.13,28.65,2.44,41.13994598,20.06507683
Albania,1993,41.09,28.57,3.0,41.13994598,20.06507683
Albania,1994,41.09,28.5,2.47,41.13994598,20.06507683
Albania,1995,41.13,28.43,2.87,41.13994598,20.06507683
Albania,1996,41.28,28.36,2.17,41.13994598,20.06507683
Albania,1997,41.42,28.29,2.85,41.13994598,20.06507683
Albania,1998,41.57,28.22,2.8,41.13994598,20.06507683
Albania,1999,41.79,28.15,2.5,41.13994598,20.06507683
Albania,2000,41.75,28.08,3.05,41.13994598,20.06507683
Albania,2001,41.57,28.12,2.82,41.13994598,20.06507683
Albania,2002,41.61,28.17,3.16,41.13994598,20.06507683
Albania,2003,40.91,28.22,2.86,41.13994598,20.06507683
Albania,2004,40.95,28.26,3.11,41.13994598,20.06507683
Albania,2005,39.31,28.31,3.16,41.13994598,20.06507683
Albania,2006,40.88,28.36,3.08,41.13994598,20.06507683
Albania,2007,40.84,28.4,3.55,41.13994598,20.06507683
Albania,2008,43.1,28.45,4.02,41.13994598,20.06507683
Albania,2009,43.84,28.5,4.02,41.13994598,20.06507683
Albania,2010,43.84,28.54,3.99,41.13994598,20.06507683
Albania,2011,43.83,28.59,4.23,41.13994598,20.06507683
Albania,2012,43.84,28.65,4.11,41.13994598,20.06507683
Albania,2013,43.33,28.7,4.13,41.13994598,20.06507683
Albania,2014,42.86,28.75,4.0,41.13994598,20.06507683
Albania,2015,42.86,28.8,3.95,41.13994598,20.06507683
Albania,2016,43.13,28.8,3.9,41.13994598,20.06507683
Albania,2017,42.86,28.79,4.04,41.13994598,20.06507683
Albania,2018,42.85,28.79,3.69,41.13994598,20.06507683
Albania,2019,42.85,28.79,4.07,41.13994598,20.06507683
Albania,2020,42.54,28.79,4.33,41.13994598,20.06507683
Albania,2021,41.47,28.79,4.13,41.13994598,20.06507683
Algeria,1990,16.24,0.7,0.63,28.0000267,2.9999826
Algeria,1991,16.22,0.7,1.08,28.0000267,2.9999826
Algeria,1992,16.32,0.69,0.99,28.0000267,2.9999826
Algeria,1993,16.32,0.69,0.81,28.0000267,2.9999826
Algeria,1994,16.64,0.69,0.8,28.0000267,2.9999826
